time,power_load
2013/9/2 0:00,750.75
2013/9/2 1:00,716.94
2013/9/2 2:00,712.77
2013/9/2 3:00,684.86
2013/9/2 4:00,728.79
2013/9/2 5:00,742.81
2013/9/2 6:00,758.74
2013/9/2 7:00,816.79
2013/9/2 8:00,884.53
2013/9/2 9:00,954.41
2013/9/2 10:00,962.4
2013/9/2 11:00,1160.14
2013/9/2 12:00,1190.02
2013/9/2 13:00,1198
2013/9/2 14:00,1164.06
2013/9/2 15:00,1100.17
2013/9/2 16:00,946.61
2013/9/2 17:00,958.4
2013/9/2 18:00,972.38
2013/9/2 19:00,920.47
2013/9/2 20:00,898.59
2013/9/2 21:00,854.58
2013/9/2 22:00,796.67
2013/9/2 23:00,750.75
2013/9/3 0:00,764.47
2013/9/3 1:00,724.85
2013/9/3 2:00,724.85
2013/9/3 3:00,732.78
2013/9/3 4:00,724.79
2013/9/3 5:00,750.9
2013/9/3 6:00,784.75
2013/9/3 7:00,864.56
2013/9/3 8:00,887.35
2013/9/3 9:00,937.36
2013/9/3 10:00,954.41
2013/9/3 11:00,886.08
2013/9/3 12:00,886.16
2013/9/3 13:00,882.53
2013/9/3 14:00,848.07
2013/9/3 15:00,830.25
2013/9/3 16:00,866.56
2013/9/3 17:00,872.55
2013/9/3 18:00,896.58
2013/9/3 19:00,752.75
2013/9/3 20:00,577.04
2013/9/3 21:00,577.62
2013/9/3 22:00,555.42
2013/9/3 23:00,531.8
2013/9/4 0:00,833.96
